
3617 chunks | 150 questions (16 empty-gold, excluded from recall denominator) | vector=voyage-4-large | rerank pool=50

retriever           recall@1    recall@5    recall@10   recall@20   recall@50   
--------------------------------------------------------------------------------
BM25                     7%       16%       20%       27%       38%   
voyage-4-large          15%       31%       40%       47%       57%   
hybrid-RRF              12%       25%       37%       43%       54%   
hybrid-wt0.5            13%       30%       34%       43%       55%   
rerank:rerank-2.5        9%       31%       40%       50%       57%   
rerank:rerank-2.5-lite    10%       28%       40%       49%       57%   
vec+rw1-haiku           12%       35%       43%       51%       63%   
vec+rw3-haiku           14%       29%       43%       49%       69%   
vec+rw1-sonnet          16%       41%       56%       62%       75%   
vec+rw3-sonnet          18%       44%       52%       63%       74%   
vec+rw1-gpt5mini        19%       34%       43%       55%       67%   
vec+rw3-gpt5mini        19%       38%       50%       60%       70%   
vec+rw3-sonnet+orig     18%       38%       49%       62%       77%   

weighted-fusion alpha sweep (recall@5, alpha = vector weight):
  a=0.3: 22%   a=0.5: 30%   a=0.7: 32%

--match-both: recall@k under FORCED any vs FORCED all (ignores each question's own `match` field):
retriever           any@1  /all@1  any@5  /all@5  any@10 /all@10 any@20 /all@20 any@50 /all@50 
-----------------------------------------------------------------------------------------------
BM25                    7%/3%       16%/8%       20%/10%      27%/13%      38%/20%   
voyage-4-large         15%/5%       31%/11%      40%/16%      47%/21%      57%/26%   
hybrid-RRF             12%/4%       25%/9%       37%/15%      43%/19%      54%/28%   
hybrid-wt0.5           13%/4%       30%/10%      34%/13%      43%/20%      55%/28%   
rerank:rerank-2.5       9%/4%       31%/12%      40%/16%      50%/21%      57%/26%   
rerank:rerank-2.5-lite   10%/4%       28%/12%      40%/16%      49%/22%      57%/26%   
vec+rw1-haiku          12%/3%       35%/13%      43%/18%      51%/22%      63%/32%   
vec+rw3-haiku          14%/3%       29%/13%      43%/16%      49%/21%      69%/36%   
vec+rw1-sonnet         16%/4%       41%/16%      56%/21%      62%/25%      75%/39%   
vec+rw3-sonnet         18%/5%       44%/16%      52%/22%      63%/30%      74%/40%   
vec+rw1-gpt5mini       19%/5%       34%/15%      43%/18%      55%/23%      67%/31%   
vec+rw3-gpt5mini       19%/7%       38%/16%      50%/19%      60%/23%      70%/33%   
vec+rw3-sonnet+orig    18%/7%       38%/16%      49%/19%      62%/28%      77%/39%   

Per-question hit@5 (Y=hit, .=miss):
qid   match BM25              voyage-4-large    rerank:rerank-2.  rerank:rerank-2.  vec+rw1-haiku     vec+rw3-haiku     vec+rw1-sonnet    vec+rw3-sonnet    vec+rw1-gpt5mini  vec+rw3-gpt5mini  vec+rw3-sonnet+o  question
rg1259any   .                 .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 Adriel controls [Oko, Thief of Crowns], [Gil
rg137 any   .                 Y                 .                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Natasha controls a [Lifeline] and 2 [Scarwoo
rg6667any   .                 .                 Y                 Y                 .                 .                 Y                 Y                 Y                 Y                 Y                 Alfred casts [Stream of Thought], replicatin
rg7413any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Adrienne attacks with [Sporeweb Weaver], and
rg3717any   .                 .                 .                 .                 Y                 .                 .                 .                 Y                 Y                 .                 Autumn controls [Captain Mar-Vell, Space-Bor
rg2507any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Amelia casts [Aminatou's Augury] exiling an 
rg1182any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Agustin casts [Seasoned Pyromancer] and has 
rg84  any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Aranza controls a [Welding Jar] enchanted by
rg33  any   .                 .                 .                 Y                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Alina controls a [Valakut, the Molten Pinnac
rg6425any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Arely equips [Barbed Batterfist] onto [Champ
rg144 any   .                 Y                 .                 .                 .                 .                 Y                 Y                 Y                 Y                 Y                 Aviana controls a [Meng Huo's Horde] and a [
rg554 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Amos casts [Rise from the Grave] targeting [
rg1069any   .                 .                 Y                 .                 Y                 .                 Y                 Y                 Y                 Y                 Y                 Ava controls [Undead Minotaur] enchanted wit
rg3868any   .                 Y                 Y                 .                 .                 .                 Y                 Y                 Y                 Y                 Y                 Amara controls [Muraganda Petroglyphs] and [
rg3518any   .                 .                 Y                 Y                 Y                 .                 Y                 Y                 .                 Y                 Y                 Nayeli controls [Trinisphere]. Ainsley casts
rg3391any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Anakin controls [Mycosynth Lattice], an [Ani
rg1943any   Y                 Y                 .                 .                 Y                 Y                 .                 .                 Y                 Y                 Y                 Amare casts [Insatiable Hemophage] targeting
rg1268any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Amirah controls Azors Gateway with 4 differe
rg241 any   .                 .                 Y                 Y                 .                 .                 .                 .                 .                 .                 .                 Aryana controls [Ascended Lawmage] and [Ceme
rg963 any   .                 .                 .                 .                 .                 .                 .                 .                 Y                 .                 .                 Amaris controls [Eruth, Tormented Prophet] a
